Status,Progress,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q45,Q1,Q16,Q16_19_TEXT,Q2,Q2_16_TEXT,Q3,Q3_13_TEXT,Q6,Q7,Q7_6_TEXT,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q11_6_TEXT,Q12,Q12_1_TEXT,Q12_3_TEXT,Q13,Q13_5_TEXT,Q14,Q15,Q17,Q17_9_TEXT,Q18,Q18_8_TEXT,Q19,Q20,Q20_7_TEXT,Q21,Q21_12_TEXT,Q22,Q23,Q23_10_TEXT,Q48,Q43,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_8_TEXT,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_8_TEXT,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_8_TEXT,Q32,Q33,Q34,Q35,Q42,Q36,Q37,Q38,Q39,Q40,Q41
IP Address,100,8135,TRUE,R_1Pdu0G950KzKyil,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"archaeology,evolutionary biology,paleoanthropology",NA,graduate student,NA,no,NA,NA,yes,no (provide an explanation of why not if you desire),NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",Morphosource,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum administrator, descendant population),I could have been scooped on current or planned future research if I did",NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Somewhat agree,NA,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,600,TRUE,R_snTt70vxsIU2dAl,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"bioarchaeology,biogeography,evolutionary biology,genetics/genomics,human biology,paleoanthropology,physical (biological) anthropology,phylogenetics",NA,full professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,Genbank etc,"required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data,other (write in)",Its the right thing to do,"I was invited to collaborate on a paper using data I shared,My paper was cited specifically for the shared data it included,I was able to report more publications using my data to the grant sponsor who funded the data collection than if I hadnt shared my data,I was able to provide evidence of my past data sharing in a new grant proposal,The data were used for outreach and education and I was able to report that as impact of my data,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,no,NA,NA,NA,NA,no,NA,NA,"If you don't share data, you are not a scientist","Point out that If they don't share data, they are not a scientist, and don't belong in the field",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,anybody else,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,3215,TRUE,R_21dogl74OHxkLGG,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,Improved an ongoing study through data resources made accessible to me,NA,author sent me data directly,NA,NA,NA,NA,yes,NA,"satisfy my own personal/professional standards,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,The data were used for outreach and education and I was able to report that as impact of my data",NA,yes,People used the data without acknowledging/citing me or other sources,NA,NA,NA,no,NA,NA,NA,Institutional policies sometimes prevent easy data sharing. Acknowledged data access has no measureable impact,not sure / depends,UNLIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,little obligation,little obligation,strongeset obligation,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
IP Address,100,607,TRUE,R_12hdqBsi75ePeoG,anonymous,EN,proceed,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution",NA,"archaeology,genetics/genomics,paleoanthropology",NA,assistant professor,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",Morphosource,NA,NA,NA,yes,"TSource, various genome browsers","required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),I have benefited from others sharing data and wanted to pay it forward",NA,My paper was cited specifically for the shared data it included,NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population),I could have been scooped on other current or planned future research if I did,I planned to give first priority of reuse to my students (or future students)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
IP Address,100,597,TRUE,R_qJEHy5waa1DJ6wN,anonymous,EN,proceed,Agree,other (write in),direct email,"functional anatomy/biomechanics,paleoanthropology,skeletal biology",NA,full professor (tenured),NA,no,NA,NA,I don't know,NA,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",ResearchGate,NA,NA,NA,yes,ResearchGate,"I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,I was able to provide evidence of my past data sharing in a new grant proposal,NA,no,NA,NA,NA,NA,yes,"I could have been scooped on other current or planned future research if I did,I planned to give first priority of reuse to my students (or future students)",NA,NA,NA,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences strong benefit,experiences the strongest benefit,experiences little benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,little obligation,strong obligation,little obligation,NA,NA,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
IP Address,100,2214,TRUE,R_27y4KO4o34iLyxQ,anonymous,EN,NA,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution,Paleoanthropology Society,Palaeontological Association",NA,"functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology,skeletal biology",NA,associate professor (tenured),NA,yes,racial identity,NA,yes,yes,NA,Yes,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,"J. African earth Sciences, Open Access, J of Human Evolution.","I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,My paper was cited specifically for the shared data it included",NA,yes,"My research was scooped,other (write in)",People refused to share their own data that could have enhanced my work.,NA,NA,no,NA,NA,our drone mapping research data at Isimila has been used in a wider and better geological review of the Isimila Acheulian Site in Southern Tanzania. The data has allowed others to start developing new research questions.,"I am struggling to get some important comparative data from some colleagues who have in the past promised to share their data but haven't done so for a while, thus resulting in a delayed publication and announcement of a new find.",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences little benefit,experiences the strongest benefit,experiences little benefit,NA,NA,little obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
IP Address,100,360,TRUE,R_tEQOnLwwfIcBldv,anonymous,EN,NA,Agree,Morphmet (listserv),NA,"functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,associate professor (non-tenured),NA,no,NA,NA,yes,yes,NA,Yes,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),NA,online repository (please write in names of repositories you have downloaded data from),MorphoSource,NA,NA,NA,yes,MorphoSource,"satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
IP Address,100,450,TRUE,R_3CGYLXwKwAJCbEi,anonymous,EN,proceed,Agree,American Association of Physical Anthropologists,NA,"functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology,skeletal biology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,online repository (please write in names of repositories you have downloaded data from),morphosource,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree
IP Address,100,13447,TRUE,R_3kddmlHZGS8ZVQl,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary biology,evolutionary development,functional anatomy/biomechanics,human biology,paleoanthropology,other (write in)","Otolaryngologist, surgeon, specialist in human anatomy and physiology and anatom",other (write in),"Former Senior Lecturer, University of Birmingham and Institute of Cancer Research, consultant ENT/head and neck surgeon  for 35 years,",yes,other (write in),"Academic marginalization and reluctance to accept new ideas. There are a number of us senior scientists, doctors, anthropologists and aquatic experts who support the  theory proposed by Sir Alister Hardy in his New Scientist article in 1960 about a possible aquatic influence in human's early evolution. This theory has been dismissed and ridiculed by many mainstream anthropologists, despite new scientific and more importantly fossil evidence as predicted in my publication in 1992. My recently published book ' The Waterside Ape: An Alternative Account of Human Evolution' provides the scientific evidence for this theory. looking, for the first time at human evolution from a medical point of view, incorporating anatomical and physiological aspects rather than basing evolutionary changes purely on fossil evidence.",yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,other (write in)","Through 35 years of research into the comparative anatomical and physiological aspects of humans and other primate species, I have been able to provide new scientific and fossil evidence for the' Waterside Theory ' , recently published in my book.of human evolution .",author sent me data directly,NA,NA,NA,NA,yes,NA,"satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,My paper was cited specifically for the shared data it included,The data were used for outreach and education and I was able to report that as impact of my data,Evidence of my data sharing was remarked upon positively in my performance reviews/promotion assessments,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,yes,other (write in),Many senior mainstream anthropologists have ignored or ridiculed this logical explanation of early human evolution.  No-one has ever proposed a more convincing theory why we  humans are so different from our primate cousins.,NA,NA,no,NA,NA,"Since my first publication in 1992 proposing an 'aquatic evolutionary theory to explain the unique differences between humans and other primates, I have been greatly supported by Sir David Attenborough. who invited me to present my work at a Symposium he organised in 1992 on 'The Aquatic Ape'. I have subsequently been involved with him on two further programmes......1992","We hope that mainstream anthropologists will  be prepared to discuss and debate other theories of early hominid evolution rather than ignore, ridicule and dismiss new scientific evidence.",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Strongly agree,strongly disagree,Strongly agree,strongly disagree,Strongly disagree,Strongly agree,Strongly agree,strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,812,TRUE,R_3Lj0DYZSquFeoFO,anonymous,EN,NA,Agree,ESHE--European Society for the study of Human Evolution,NA,"functional anatomy/biomechanics,paleoanthropology,paleontology,physical (biological) anthropology",NA,associate professor (non-tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",Morphosource,NA,NA,NA,yes,Morphosource,"required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,expected/encouraged by other stakeholders (e.g., museum policy),I hoped to increase impact of my data (e.g., to generate data citations),I have benefited from others sharing data and wanted to pay it forward,other (write in)",Create new collaboration,"I was invited to collaborate on a paper using data I shared,I was able to report more publications using my data to the grant sponsor who funded the data collection than if I hadnt shared my data,I was able to provide evidence of my past data sharing in a new grant proposal",NA,yes,"My research was scooped,People used the data without acknowledging/citing me or other sources,other (write in)",Requests often made but not offered collaboration or authorship in return,NA,NA,yes,"Too time consuming.,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population),Other researchers denied my requests for data in the past and it did not seem fair that they would get access to my data if I shared it openly.,I could have been scooped on other current or planned future research if I did,I planned to give first priority of reuse to my students (or future students)",NA,NA,NA,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences strong benefit,experiences strong benefit,experiences little benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
IP Address,100,523,TRUE,R_C36WtgGKAhFcQPT,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"archaeology,paleoanthropology",NA,postdoctoral fellow,NA,no,NA,NA,yes,sometimes,NA,No,NA,NA,NA,NA,NA,The data collection and reporting methods are complex and poorly standardized meaning it is difficult to re-use data between studies,NA,yes,Figshare,"expected/encouraged by  my employer (e.g., for promotion/tenure),I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
IP Address,100,646,TRUE,R_3rS6oawi8p0NDRa,anonymous,EN,proceed,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution",NA,"paleoanthropology,physical (biological) anthropology",NA,full professor (tenured),NA,no,NA,NA,I don't know,NA,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",Morphosource,NA,NA,NA,yes,Genbank,"required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,expected/encouraged by  my employer (e.g., for promotion/tenure)",NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,strongly disagree,strongly disagree,strongly disagree,strongly disagree,Strongly disagree,strongly disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
IP Address,100,1412,TRUE,R_W8OmIsOZqCvRmaB,anonymous,EN,NA,Agree,ESHE--European Society for the study of Human Evolution,NA,"archaeology,evolutionary biology,functional anatomy/biomechanics,paleoanthropology,paleontology,physical (biological) anthropology,primate behavior and ecology,skeletal biology",NA,associate professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),other (write in)",I learned about data generating and management techniques,"author sent me data directly,other (write in)",NA,getting access by collaborating partenrs,NA,NA,yes,"Edmond, Zenodo, Github, morphDbase, https://www.fdm.uni-hamburg.de/en/fdm.html; http://srtm.usgs.gov","expected/encouraged by other stakeholders (e.g., museum policy),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data,other (write in)","encourage metaanalyses; make it possible to generate new research projects, foster scientific advancement",An independent researcher was able to confirm and build upon results of my study because I shared the data.,NA,yes,"People mis-used and/or mis-represented my data,People used the data without acknowledging/citing me or other sources,other (write in)",data sharing is expensive (time and preparation takes time and ressources; publication takes longer),NA,NA,yes,"I was not aware of any repositories capable of storing the data in a useful way.,I was not aware of any repositories that allow my data to be archived with the appropriate restrictions/embargos on access.,Too expensive to pay repository fees.,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population),other (write in)",sensitive data regarding conservation and/or unclear data safety policy; missing clearity and sustainability in data storage facilities,NA,limited sustainability and missing option of providing meta data,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,strong obligation,strong obligation,strong obligation,strongeset obligation,strong obligation,strong obligation,strong obligation,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,226,TRUE,R_2tujD12t9ufLZnV,anonymous,EN,NA,Agree,other (write in),Twitter,"evolutionary biology,paleoanthropology,skeletal biology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,other (write in)","Wait, there's not a back button! I remembered that I have archieved/shared data before",NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
IP Address,100,351,TRUE,R_3jz1CHDu2igXPdn,anonymous,EN,proceed,Agree,Paleoanthropology Society,NA,"archaeology,paleoanthropology,paleontology",NA,associate professor (tenured),NA,no,NA,NA,I don't know,NA,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",eLife,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"Too time consuming,I could have been scooped on current or planned future research if I did",NA,NA,NA,NA,NA,NA,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,449,TRUE,R_2dmBe93fQ9hrERo,anonymous,EN,proceed,Agree,other (write in),Twitter,"archaeology,paleoanthropology",NA,graduate student,NA,no,NA,NA,I don't know,NA,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly,other (write in)","Marshall et al. (2002) biface database, hosted on the archaeology service database in the UK",Supplementary materials in a published article,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,strong obligation,NA,NA,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
IP Address,100,272,TRUE,R_1241Skx6uX7IdAj,anonymous,EN,proceed,Agree,Paleoanthropology Society,NA,"evolutionary biology,paleoanthropology",NA,full time lecturer/instructor,NA,no,NA,NA,yes,yes,NA,No,NA,NA,NA,NA,NA,"There is not a culture of sharing data in my field (it is not required or expected).,The data collection and reporting methods are complex and poorly standardized meaning it is difficult to re-use data between studies",NA,yes,Zenodo,"satisfy my own personal/professional standards,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,yes,"People mis-used and/or mis-represented my data,People used the data without acknowledging/citing me or other sources",NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences little benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences little benefit,experiences the strongest benefit,experiences little benefit,NA,NA,strong obligation,strong obligation,little obligation,little obligation,little obligation,little obligation,little obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,669,TRUE,R_1NgXxREDYRz1dia,anonymous,EN,proceed,Agree,Paleoanthropology Society,NA,"archaeology,paleoanthropology,physical (biological) anthropology",NA,retired,NA,no,NA,NA,no,NA,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,"author sent me data directly,other (write in)",NA,Museum and journals,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,other (write in),I did through online archaeological studies,NA,NA,NA,My research required data from a number of disciplines without that information I could not have completed my thesis.,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,Somewhat agree,Strongly agree
